"","session","created","modified","ended","expired","currentmood","slider","wishesnextsession","openquestionsel","openquestion"
"2",NA,2021-03-18 17:42:04,2021-03-18 17:43:12,2021-03-18 17:43:13,NA,8,40,"1.",2,NA
"3","gleamingPigXXX-tHaEipqWZTMB8YxEetotI_uL0jE5hhuOle3IIrznUElrKKGUe",2021-03-18 18:03:26,2021-03-18 18:03:42,2021-03-18 18:03:43,NA,2,30,"Pizza",2,NA
"4","gleamingPigXXX-tHaEipqWZTMB8YxEetotI_uL0jE5hhuOle3IIrznUElrKKGUe",2021-03-18 18:04:14,2021-03-18 18:04:18,2021-03-18 18:04:18,NA,3,50,NA,NA,NA
"5","vivaciousMalayanTigerXXXt0AKIWzMPPkCC1UaKnhF9grCkJL5nBe-pjY91W-u",2021-03-18 20:54:02,2021-03-18 20:54:11,2021-03-18 20:54:11,NA,1,30,"Pizza",2,NA
"6","n3GGZB5pDIzvSldKbzVgA_wIL18fE1XxMvUY5-eOcXpsIFMYwnUH8jPYWRA24eX9",2021-03-19 16:14:03,2021-03-19 16:14:28,2021-03-19 16:14:28,NA,3,50,"chocolate",2,NA
"7","vD0uNJdNyiDbfcnQ2lLD1cAXJDNjSUvkqh28tUdgOmsBZ4v3kEa0sPCpUY4M66gj",2021-03-19 16:14:10,2021-03-19 16:14:37,2021-03-19 16:14:38,NA,2,50,NA,1,"Your are awesome!"
"9","a9FQGKo3VqX4-qwOxMT-ycKLr7lJrHp8BXK58ZY4Oyo2NOEnQf2suCUU059XO17v",2021-03-19 16:14:24,2021-03-19 16:15:02,2021-03-19 16:15:02,NA,8,50,"Exapkes just like yours!",2,NA
"10","SeoDIABnSj3UGGJBM0xW9GX7n6Xpbbx5v6-LdIhpIf-qrKxzujgppQLZ9ts2aWyx",2021-03-19 16:14:27,2021-03-19 16:15:23,2021-03-19 16:15:23,NA,1,50,NA,2,NA
"11","HL6uZ8EglkAyP16QbLGVqvDT3X6zcpN-fajwbYENso42apICzH1KBsXWN73TAoRX",2021-03-19 16:14:34,2021-03-19 16:15:23,2021-03-19 16:15:23,NA,8,50,NA,2,NA
"12","Xm8rxUIa4BSWPx8JY5ERoPC4G3FHFkfcjOVh56jwHrs4K0Vv9teCGp_Shb7MmOOt",2021-03-19 16:14:37,2021-03-19 16:15:18,2021-03-19 16:15:18,NA,3,50,NA,2,NA
"13","aC0269TwdZvgkAlT4CKzFMdrSqEXeP6zdqbxNt5Fkvsb2cC1nRcKCGxfb2d_jufe",2021-03-19 16:14:42,2021-03-19 16:15:47,2021-03-19 16:15:47,NA,1,30,NA,2,NA
"14","CHtSDwL7wl6z0qBoBVCnKmPtxNrhZZjghqj9p3LcmRTYPx-eUQbiwGo2f1AwyE5t",2021-03-19 16:14:46,2021-03-19 16:15:12,2021-03-19 16:15:12,NA,7,30,NA,2,NA
